Time (s),Dummy,temp (K),Field (kG),Voltage (V),phase
0,0.0,1.439,-5.0,0.000346275,-2.232
0.432116985321,0.0,1.439,-5.0,0.000346305,-2.232
0.819558858871,0.0,1.439,-5.0,0.000346335,-2.238
1.26907396317,0.0,1.439,-5.0,0.000346394,-2.238
1.6186850071,0.0,1.439,-5.0,0.000346394,-2.238
2.03983592987,0.0,1.439,-5.0,0.000346364,-2.238
2.4885020256,0.0,1.439,-5.0,0.000346275,-2.244
2.87411594391,0.0,1.439,-5.0,0.000346305,-2.25
3.26565885544,0.0,1.439,-5.0,0.000346454,-2.238
3.66510891914,0.0,1.439,-5.0,0.000346543,-2.232
4.06030893326,0.0,1.439,-5.0,0.000346543,-2.226
4.4699048996,0.0,1.439,-5.0,0.000346573,-2.208
4.85933899879,0.0,1.439,-5.0,0.000346633,-2.214
5.26460599899,0.0,1.439,-5.0,0.000346573,-2.214
5.66514492035,0.0,1.439,-5.0,0.000346454,-2.208
6.11704993248,0.0,1.439,-5.0,0.000346454,-2.22
6.52289485931,0.0,1.439,-4.994,0.000346454,-2.214
6.91490197182,0.0,1.439,-4.994,0.000346454,-2.208
7.33108782768,0.0,1.439,-4.988,0.000346513,-2.214
7.71830201149,0.0,1.439,-4.981,0.000346603,-2.214
8.11602401733,0.0,1.439,-4.976,0.000346722,-2.232
8.52187895775,0.0,1.439,-4.976,0.000346722,-2.256
8.9103679657,0.0,1.439,-4.968,0.000346692,-2.262
9.31860780716,0.0,1.439,-4.963,0.000346603,-2.268
9.71634602547,0.0,1.439,-4.955,0.000346543,-2.28
10.1224589348,0.0,1.439,-4.955,0.000346543,-2.268
10.5219488144,0.0,1.439,-4.95,0.000346603,-2.244
10.9213249683,0.0,1.439,-4.943,0.000346603,-2.22
11.3181118965,0.0,1.439,-4.938,0.000346394,-2.208
11.7164800167,0.0,1.439,-4.938,0.000346186,-2.214
12.1111860275,0.0,1.439,-4.93,0.000346215,-2.226
12.5193698406,0.0,1.439,-4.925,0.000346364,-2.208
12.9304950237,0.0,1.439,-4.917,0.000346513,-2.184
13.3289108276,0.0,1.439,-4.917,0.000346454,-2.19
13.726998806,0.0,1.439,-4.911,0.000346305,-2.22
14.1445150375,0.0,1.439,-4.904,0.000346305,-2.256
14.5214350224,0.0,1.439,-4.898,0.000346275,-2.256
14.9508550167,0.0,1.439,-4.898,0.000346275,-2.238
15.3509168625,0.0,1.439,-4.891,0.000346335,-2.238
15.747043848,0.0,1.439,-4.885,0.000346394,-2.238
16.143340826,0.0,1.439,-4.878,0.000346424,-2.244
16.551710844,0.0,1.439,-4.878,0.000346484,-2.262
16.9871029854,0.0,1.439,-4.871,0.000346513,-2.274
17.4017410278,0.0,1.439,-4.865,0.000346454,-2.268
17.815707922,0.0,1.439,-4.858,0.000346335,-2.268
18.267980814,0.0,1.439,-4.851,0.000346305,-2.268
18.6418709755,0.0,1.439,-4.851,0.000346305,-2.274
18.9591319561,0.0,1.439,-4.845,0.000346335,-2.262
19.3576769829,0.0,1.439,-4.838,0.000346394,-2.262
19.753139019,0.0,1.439,-4.838,0.000346305,-2.262
20.2369289398,0.0,1.439,-4.83,0.000346186,-2.238
20.5600810051,0.0,1.439,-4.824,0.000346275,-2.226
20.9563128948,0.0,1.439,-4.816,0.000346275,-2.214
21.4130969048,0.0,1.439,-4.816,0.000346186,-2.19
21.8062050343,0.0,1.439,-4.81,0.000345977,-2.166
22.2018938065,0.0,1.439,-4.803,0.000345977,-2.142
22.6133680344,0.0,1.439,-4.796,0.000345977,-2.166
22.9999248981,0.0,1.439,-4.796,0.000345977,-2.19
23.415375948,0.0,1.439,-4.79,0.000346007,-2.208
23.8629879951,0.0,1.439,-4.782,0.000345977,-2.214
24.2641320229,0.0,1.439,-4.776,0.000345947,-2.22
24.664247036,0.0,1.439,-4.776,0.000345917,-2.226
25.0605969429,0.0,1.439,-4.768,0.000345947,-2.226
25.4272198677,0.0,1.439,-4.763,0.000345917,-2.22
25.8615059853,0.0,1.439,-4.755,0.000345917,-2.232
26.2648789883,0.0,1.439,-4.755,0.000345917,-2.232
26.6655960083,0.0,1.439,-4.748,0.000345888,-2.232
27.0122709274,0.0,1.439,-4.741,0.000345798,-2.232
27.4261579514,0.0,1.439,-4.734,0.000345739,-2.244
27.8111929893,0.0,1.439,-4.734,0.000345709,-2.238
28.2198729515,0.0,1.439,-4.727,0.000345679,-2.232
28.6212749481,0.0,1.439,-4.721,0.000345679,-2.232
28.9789168835,0.0,1.439,-4.713,0.000345679,-2.238
29.479323864,0.0,1.439,-4.707,0.000345649,-2.238
29.8765439987,0.0,1.439,-4.707,0.00034559,-2.238
30.2904789448,0.0,1.439,-4.699,0.0003455,-2.244
30.6411240101,0.0,1.439,-4.693,0.000345441,-2.256
31.0241558552,0.0,1.439,-4.686,0.000345441,-2.25
31.4918780327,0.0,1.439,-4.686,0.00034547,-2.244
31.8751988411,0.0,1.439,-4.678,0.0003455,-2.238
32.2766029835,0.0,1.439,-4.672,0.00034547,-2.238
32.6281919479,0.0,1.439,-4.664,0.000345411,-2.244
33.0177500248,0.0,1.439,-4.664,0.000345351,-2.232
33.4344339371,0.0,1.439,-4.658,0.000345321,-2.232
33.8253719807,0.0,1.439,-4.65,0.000345232,-2.238
34.2294700146,0.0,1.439,-4.644,0.000345202,-2.238
34.6285989285,0.0,1.439,-4.644,0.000345202,-2.232
35.0168979168,0.0,1.439,-4.636,0.000345172,-2.232
35.5132248402,0.0,1.439,-4.63,0.000345172,-2.232
35.9172358513,0.0,1.439,-4.622,0.000345172,-2.232
36.2750139236,0.0,1.439,-4.622,0.000345172,-2.232
36.6754028797,0.0,1.439,-4.616,0.000345083,-2.226
37.0242259502,0.0,1.439,-4.607,0.000345023,-2.226
37.5006968975,0.0,1.439,-4.602,0.000344994,-2.238
37.9173908234,0.0,1.439,-4.602,0.000344994,-2.25
38.3269398212,0.0,1.439,-4.594,0.000344934,-2.238
38.7217259407,0.0,1.439,-4.587,0.000344904,-2.238
39.1212890148,0.0,1.439,-4.58,0.000344845,-2.244
39.527930975,0.0,1.439,-4.58,0.000344785,-2.238
39.876044035,0.0,1.439,-4.573,0.000344755,-2.22
40.2906758785,0.0,1.439,-4.567,0.000344725,-2.214
40.6774828434,0.0,1.439,-4.567,0.000344696,-2.22
41.0191748142,0.0,1.439,-4.559,0.000344606,-2.232
41.4920239449,0.0,1.439,-4.553,0.000344517,-2.238
41.918820858,0.0,1.439,-4.545,0.000344487,-2.238
42.3261599541,0.0,1.439,-4.538,0.000344427,-2.238
42.753125906,0.0,1.439,-4.538,0.000344398,-2.238
43.1159520149,0.0,1.439,-4.531,0.000344427,-2.256
43.527173996,0.0,1.439,-4.524,0.000344457,-2.268
43.9463589191,0.0,1.439,-4.516,0.000344368,-2.256
44.3561730385,0.0,1.439,-4.516,0.000344308,-2.238
44.7520849705,0.0,1.439,-4.511,0.000344278,-2.232
45.1524589062,0.0,1.439,-4.503,0.000344308,-2.232
45.5139839649,0.0,1.439,-4.496,0.000344457,-2.244
45.9710068703,0.0,1.439,-4.496,0.000344457,-2.256
46.3107559681,0.0,1.439,-4.489,0.000344427,-2.256
46.7384319305,0.0,1.439,-4.482,0.000344368,-2.25
47.1048779488,0.0,1.439,-4.475,0.000344338,-2.256
47.562458992,0.0,1.439,-4.475,0.000344278,-2.25
47.9506900311,0.0,1.439,-4.467,0.000344189,-2.244
48.3560118675,0.0,1.439,-4.461,0.00034404,-2.25
48.7516589165,0.0,1.439,-4.453,0.00034395,-2.25
49.1561579704,0.0,1.439,-4.453,0.000343891,-2.244
49.5578408241,0.0,1.439,-4.447,0.000343861,-2.244
49.9474618435,0.0,1.439,-4.439,0.000343831,-2.244
50.3713710308,0.0,1.439,-4.433,0.000343891,-2.244
50.752161026,0.0,1.439,-4.433,0.00034395,-2.25
51.1676800251,0.0,1.439,-4.425,0.000343891,-2.238
51.5563628674,0.0,1.439,-4.419,0.000343861,-2.244
51.9148819447,0.0,1.439,-4.411,0.000343861,-2.262
52.2578058243,0.0,1.439,-4.411,0.000343801,-2.268
52.6708109379,0.0,1.439,-4.404,0.000343712,-2.256
53.0216839314,0.0,1.439,-4.397,0.000343712,-2.256
53.4178240299,0.0,1.439,-4.39,0.000343742,-2.256
53.8131599426,0.0,1.439,-4.39,0.000343772,-2.256
54.2136108875,0.0,1.439,-4.383,0.000343742,-2.256
54.6170668602,0.0,1.439,-4.376,0.000343623,-2.25
